幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.62000,31.97000,31.95400,31.90600,31.84300,31.78200,31.72100,31.65800,31.59700,本行賣出,32.29000,32.07000,32.05800,32.01400,31.95800,31.90500,31.85200,31.79600,31.74400,
HKD,本行買入,3.92400,4.05000,4.04800,4.04500,4.04100,4.03800,4.03200,4.02600,4.02000,本行賣出,4.12800,4.11000,4.11000,4.10900,4.10500,4.10200,4.09700,4.09300,4.08800,
GBP,本行買入,42.04000,43.05000,43.01400,42.94300,42.85900,42.77900,42.68300,42.58700,42.49100,本行賣出,44.16000,43.45000,43.43000,43.38900,43.30900,43.23000,43.15100,43.07200,42.99200,
AUD,本行買入,22.23000,22.52000,22.49500,22.44500,22.39000,22.33800,22.27700,22.21900,22.16000,本行賣出,23.01000,22.72000,22.70700,22.68100,22.62900,22.57700,22.52400,22.47400,22.42400,
CAD,本行買入,22.52000,22.92000,22.91200,22.89500,22.88300,22.87200,22.85500,22.83800,22.82100,本行賣出,23.43000,23.12000,23.12000,23.11900,23.10900,23.09800,23.09000,23.08100,23.07200,
SGD,本行買入,24.45000,24.94000,24.93800,24.93400,24.93800,24.94500,24.94700,24.94800,24.94900,本行賣出,25.36000,25.12000,25.12700,25.14000,25.14900,25.15600,25.16600,25.17700,25.18700,
CHF,本行買入,38.54000,39.22000,39.23100,39.25300,39.31200,39.37100,39.42600,39.48100,39.53700,本行賣出,39.74000,39.47000,39.49800,39.55300,39.61800,39.67800,39.74800,39.81800,39.88800,
JPY,本行買入,0.19190,0.19920,0.19920,0.19920,0.19930,0.19940,0.19950,0.19960,0.19960,本行賣出,0.20470,0.20320,0.20330,0.20340,0.20350,0.20370,0.20380,0.20400,0.20420,
ZAR,本行買入,0.00000,1.93700,1.93400,1.92700,1.91900,1.91000,1.90100,1.89200,1.88300,本行賣出,0.00000,2.01700,2.01500,2.01000,2.00200,1.99300,1.98500,1.97700,1.96900,
SEK,本行買入,0.00000,3.31000,3.30900,3.30700,3.30700,3.30600,3.30400,3.30200,3.30000,本行賣出,0.00000,3.41000,3.41000,3.41100,3.41000,3.41000,3.41000,3.40900,3.40900,
NZD,本行買入,18.31000,18.69000,18.68000,18.65900,18.63700,18.61700,18.58900,18.56200,18.53400,本行賣出,19.16000,18.89000,18.88800,18.88500,18.86500,18.84500,18.82500,18.80400,18.78400,
THB,本行買入,0.83660,0.95000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02660,0.99000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45590,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.15000,36.77000,36.75800,36.73500,36.70400,36.67700,36.64700,36.61700,36.56800,本行賣出,37.49000,37.17000,37.16700,37.16000,37.13800,37.11900,37.10400,37.08900,37.07400,
KRW,本行買入,0.02090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02480,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.81700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.34200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.65000,4.72200,4.72220,4.72260,4.72480,4.72600,4.72720,4.72890,4.72960,本行賣出,4.81200,4.77200,4.77260,4.77370,4.77600,4.77680,4.77910,4.78140,4.78370,
