幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.20000,31.55000,31.53500,31.48600,31.41900,31.35800,31.29400,31.22300,31.17000,本行賣出,31.87000,31.65000,31.63900,31.59400,31.53500,31.48200,31.42500,31.36100,31.31300,
HKD,本行買入,3.87400,4.00000,3.99800,3.99400,3.98900,3.98600,3.98000,3.97500,3.97000,本行賣出,4.07800,4.06000,4.05900,4.05800,4.05500,4.05100,4.04700,4.04300,4.04000,
GBP,本行買入,41.52000,42.53000,42.49500,42.42400,42.33900,42.25800,42.17400,42.09000,42.00600,本行賣出,43.64000,42.93000,42.91300,42.87800,42.79900,42.72200,42.64900,42.57500,42.50200,
AUD,本行買入,22.38000,22.67000,22.64700,22.60000,22.54100,22.48500,22.42900,22.37300,22.31900,本行賣出,23.16000,22.87000,22.85800,22.83500,22.78000,22.72600,22.67500,22.62600,22.57700,
CAD,本行買入,22.35000,22.75000,22.74100,22.72400,22.71000,22.69800,22.68500,22.67200,22.65900,本行賣出,23.26000,22.95000,22.95100,22.95300,22.94300,22.93300,22.92600,22.92000,22.91300,
SGD,本行買入,24.37000,24.86000,24.85400,24.84300,24.84300,24.84800,24.85100,24.85400,24.85700,本行賣出,25.28000,25.04000,25.04800,25.06400,25.06900,25.07500,25.08400,25.09300,25.10300,
CHF,本行買入,38.21000,38.89000,38.90000,38.92000,38.97300,39.03200,39.09000,39.14900,39.20900,本行賣出,39.41000,39.14000,39.16800,39.22400,39.28600,39.34700,39.41700,39.48800,39.56000,
JPY,本行買入,0.19340,0.20070,0.20070,0.20070,0.20080,0.20090,0.20090,0.20100,0.20100,本行賣出,0.20620,0.20470,0.20480,0.20490,0.20500,0.20500,0.20520,0.20530,0.20550,
ZAR,本行買入,0.00000,1.94000,1.93700,1.93100,1.92200,1.91400,1.90600,1.89800,1.89000,本行賣出,0.00000,2.02000,2.01800,2.01400,2.00600,1.99800,1.99000,1.98300,1.97500,
SEK,本行買入,0.00000,3.26000,3.25900,3.25700,3.25600,3.25500,3.25400,3.25300,3.25200,本行賣出,0.00000,3.36000,3.36100,3.36200,3.36100,3.36100,3.36000,3.36000,3.36000,
NZD,本行買入,18.10000,18.48000,18.46800,18.44300,18.41900,18.39700,18.37400,18.35000,18.32600,本行賣出,18.95000,18.68000,18.67900,18.67600,18.65600,18.63600,18.61700,18.59700,18.57800,
THB,本行買入,0.83250,0.94590,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02250,0.98590,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.43850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.90000,36.52000,36.50800,36.48400,36.44900,36.42000,36.38700,36.35400,36.30000,本行賣出,37.24000,36.92000,36.91400,36.90300,36.87300,36.85300,36.83600,36.81800,36.80100,
KRW,本行買入,0.02192,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02582,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.78700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.31200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.61400,4.68600,4.68580,4.68540,4.68680,4.68780,4.68900,4.69050,4.69140,本行賣出,4.77600,4.73600,4.73660,4.73780,4.73860,4.73940,4.74150,4.74360,4.74570,
