幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.19500,31.54500,31.52600,31.48100,31.41900,31.35600,31.29200,31.23200,31.17300,本行賣出,31.86500,31.64500,31.63000,31.59000,31.53500,31.47900,31.42200,31.36900,31.31800,
HKD,本行買入,3.87400,4.00000,3.99800,3.99500,3.99100,3.98800,3.98200,3.97600,3.97000,本行賣出,4.07800,4.06000,4.06000,4.05900,4.05500,4.05200,4.04700,4.04300,4.03800,
GBP,本行買入,41.74000,42.75000,42.71400,42.64300,42.55900,42.47900,42.38300,42.28700,42.19100,本行賣出,43.86000,43.15000,43.13000,43.08900,43.00900,42.93000,42.85100,42.77200,42.69200,
AUD,本行買入,22.36000,22.65000,22.62500,22.57500,22.52000,22.46800,22.40700,22.34900,22.29000,本行賣出,23.14000,22.85000,22.83700,22.81100,22.75900,22.70700,22.65400,22.60400,22.55400,
CAD,本行買入,22.31000,22.71000,22.70200,22.68500,22.67300,22.66200,22.64500,22.62800,22.61100,本行賣出,23.22000,22.91000,22.91000,22.90900,22.89900,22.88800,22.88000,22.87100,22.86200,
SGD,本行買入,24.29000,24.78000,24.77800,24.77400,24.77800,24.78500,24.78700,24.78800,24.78900,本行賣出,25.20000,24.96000,24.96700,24.98000,24.98900,24.99600,25.00600,25.01700,25.02700,
CHF,本行買入,38.44000,39.12000,39.13100,39.15300,39.21200,39.27100,39.32600,39.38100,39.43700,本行賣出,39.64000,39.37000,39.39800,39.45300,39.51800,39.57800,39.64800,39.71800,39.78800,
JPY,本行買入,0.18890,0.19620,0.19620,0.19610,0.19620,0.19630,0.19640,0.19640,0.19650,本行賣出,0.20170,0.20020,0.20020,0.20030,0.20050,0.20060,0.20080,0.20090,0.20100,
ZAR,本行買入,0.00000,1.93500,1.93200,1.92500,1.91700,1.90800,1.89900,1.89000,1.88100,本行賣出,0.00000,2.01500,2.01300,2.00800,2.00000,1.99100,1.98300,1.97500,1.96700,
SEK,本行買入,0.00000,3.27000,3.26900,3.26700,3.26700,3.26600,3.26400,3.26200,3.26000,本行賣出,0.00000,3.37000,3.37000,3.37100,3.37000,3.37000,3.37000,3.36900,3.36900,
NZD,本行買入,18.37000,18.75000,18.74000,18.71900,18.69700,18.67700,18.64900,18.62200,18.59400,本行賣出,19.22000,18.95000,18.94800,18.94500,18.92500,18.90500,18.88500,18.86400,18.84400,
THB,本行買入,0.82930,0.94270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01930,0.98270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.98000,36.60000,36.58600,36.55900,36.53100,36.50300,36.46800,36.43300,36.37700,本行賣出,37.32000,37.00000,36.99700,36.99000,36.96600,36.94500,36.92800,36.91100,36.89400,
KRW,本行買入,0.02122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02512,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.82000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.34500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.60400,4.67600,4.67550,4.67460,4.67660,4.67810,4.67860,4.67920,4.67950,本行賣出,4.76600,4.72600,4.72680,4.72840,4.72960,4.73080,4.73280,4.73480,4.73680,
