幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.29500,31.64500,31.62500,31.57100,31.49800,31.43200,31.36200,31.29800,31.22800,本行賣出,31.96500,31.74500,31.72900,31.68000,31.61400,31.55400,31.49100,31.43400,31.37100,
HKD,本行買入,3.88400,4.01000,4.00800,4.00400,3.99900,3.99600,3.99000,3.98500,3.98000,本行賣出,4.08800,4.07000,4.06900,4.06800,4.06500,4.06100,4.05700,4.05300,4.05000,
GBP,本行買入,40.99000,42.00000,41.96500,41.89400,41.80900,41.72800,41.64400,41.56000,41.47600,本行賣出,43.11000,42.40000,42.38300,42.34800,42.26900,42.19200,42.11900,42.04500,41.97200,
AUD,本行買入,22.11000,22.40000,22.37700,22.33000,22.27100,22.21500,22.15900,22.10300,22.04900,本行賣出,22.89000,22.60000,22.58800,22.56500,22.51000,22.45600,22.40500,22.35600,22.30700,
CAD,本行買入,22.00000,22.40000,22.39100,22.37400,22.36000,22.34800,22.33500,22.32200,22.30900,本行賣出,22.91000,22.60000,22.60100,22.60300,22.59300,22.58300,22.57600,22.57000,22.56300,
SGD,本行買入,24.26000,24.75000,24.74400,24.73300,24.73300,24.73800,24.74100,24.74400,24.74700,本行賣出,25.17000,24.93000,24.93800,24.95400,24.95900,24.96500,24.97400,24.98300,24.99300,
CHF,本行買入,37.75000,38.43000,38.44000,38.46000,38.51300,38.57200,38.63000,38.68900,38.74900,本行賣出,38.95000,38.68000,38.70800,38.76400,38.82600,38.88700,38.95700,39.02800,39.10000,
JPY,本行買入,0.19170,0.19900,0.19900,0.19900,0.19910,0.19920,0.19930,0.19930,0.19930,本行賣出,0.20450,0.20300,0.20310,0.20320,0.20330,0.20340,0.20360,0.20370,0.20380,
ZAR,本行買入,0.00000,1.91500,1.91200,1.90600,1.89700,1.88900,1.88100,1.87300,1.86500,本行賣出,0.00000,1.99500,1.99300,1.98900,1.98100,1.97300,1.96500,1.95800,1.95000,
SEK,本行買入,0.00000,3.17000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,本行賣出,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,本行買入,17.60000,17.98000,17.96800,17.94300,17.91900,17.89700,17.87400,17.85000,17.82600,本行賣出,18.45000,18.18000,18.17900,18.17600,18.15600,18.13600,18.11700,18.09700,18.07800,
THB,本行買入,0.82650,0.93990,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01650,0.97990,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57210,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.40000,36.02000,36.00500,35.97600,35.93600,35.91400,35.87800,35.84200,35.78400,本行賣出,36.74000,36.42000,36.41300,36.40000,36.36400,36.35200,36.33000,36.30900,36.28700,
KRW,本行買入,0.02165,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02555,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.75100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.27600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.62800,4.70000,4.69990,4.69960,4.70160,4.70300,4.70490,4.70740,4.70890,本行賣出,4.79000,4.75000,4.75060,4.75190,4.75330,4.75460,4.75730,4.76010,4.76290,
