幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.77000,32.12000,32.10400,32.05600,31.99400,31.92600,31.86900,31.80500,31.73700,本行賣出,32.44000,32.22000,32.20800,32.16400,32.10900,32.04900,31.99800,31.94200,31.88100,
HKD,本行買入,3.94300,4.06900,4.06700,4.06400,4.06000,4.05700,4.05100,4.04500,4.03900,本行賣出,4.14700,4.12900,4.12900,4.12800,4.12400,4.12100,4.11600,4.11200,4.10700,
GBP,本行買入,42.20000,43.21000,43.17400,43.10300,43.01900,42.93900,42.84300,42.74700,42.65100,本行賣出,44.32000,43.61000,43.59000,43.54900,43.46900,43.39000,43.31100,43.23200,43.15200,
AUD,本行買入,22.29000,22.58000,22.55500,22.50500,22.45000,22.39800,22.33700,22.27900,22.22000,本行賣出,23.07000,22.78000,22.76700,22.74100,22.68900,22.63700,22.58400,22.53400,22.48400,
CAD,本行買入,22.57000,22.97000,22.96200,22.94500,22.93300,22.92200,22.90500,22.88800,22.87100,本行賣出,23.48000,23.17000,23.17000,23.16900,23.15900,23.14800,23.14000,23.13100,23.12200,
SGD,本行買入,24.55000,25.04000,25.03800,25.03400,25.03800,25.04500,25.04700,25.04800,25.04900,本行賣出,25.46000,25.22000,25.22700,25.24000,25.24900,25.25600,25.26600,25.27700,25.28700,
CHF,本行買入,38.72000,39.40000,39.41100,39.43300,39.49200,39.55100,39.60600,39.66100,39.71700,本行賣出,39.92000,39.65000,39.67800,39.73300,39.79800,39.85800,39.92800,39.99800,40.06800,
JPY,本行買入,0.19250,0.19980,0.19980,0.19980,0.19990,0.20000,0.20010,0.20020,0.20030,本行賣出,0.20530,0.20380,0.20390,0.20410,0.20420,0.20430,0.20450,0.20470,0.20480,
ZAR,本行買入,0.00000,1.95200,1.94900,1.94200,1.93400,1.92500,1.91600,1.90700,1.89800,本行賣出,0.00000,2.03200,2.03000,2.02500,2.01700,2.00800,2.00000,1.99200,1.98400,
SEK,本行買入,0.00000,3.31000,3.30900,3.30700,3.30700,3.30600,3.30400,3.30200,3.30000,本行賣出,0.00000,3.41000,3.41000,3.41100,3.41000,3.41000,3.41000,3.40900,3.40900,
NZD,本行買入,18.32000,18.70000,18.69000,18.66900,18.64700,18.62700,18.59900,18.57200,18.54400,本行賣出,19.17000,18.90000,18.89800,18.89500,18.87500,18.85500,18.83500,18.81400,18.79400,
THB,本行買入,0.84350,0.95690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03350,0.99690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.25000,36.87000,36.85800,36.83500,36.80700,36.77900,36.74900,36.71900,36.67000,本行賣出,37.59000,37.27000,37.26600,37.25900,37.23700,37.21700,37.20200,37.18600,37.17000,
KRW,本行買入,0.02099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02489,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00101,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00142,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.84300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.36800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.67200,4.74400,4.74420,4.74450,4.74610,4.74790,4.74930,4.75120,4.75220,本行賣出,4.83400,4.79400,4.79450,4.79550,4.79720,4.79840,4.80070,4.80300,4.80540,
