幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.56000,31.91000,31.89400,31.84600,31.78300,31.72200,31.66100,31.59800,31.53700,本行賣出,32.23000,32.01000,31.99800,31.95400,31.89800,31.84500,31.79200,31.73600,31.68400,
HKD,本行買入,3.91700,4.04300,4.04100,4.03800,4.03400,4.03100,4.02500,4.01900,4.01300,本行賣出,4.12100,4.10300,4.10300,4.10200,4.09800,4.09500,4.09000,4.08600,4.08100,
GBP,本行買入,42.12000,43.13000,43.09400,43.02300,42.93900,42.85900,42.76300,42.66700,42.57100,本行賣出,44.24000,43.53000,43.51000,43.46900,43.38900,43.31000,43.23100,43.15200,43.07200,
AUD,本行買入,22.27000,22.56000,22.53500,22.48500,22.43000,22.37800,22.31700,22.25900,22.20000,本行賣出,23.05000,22.76000,22.74700,22.72100,22.66900,22.61700,22.56400,22.51400,22.46400,
CAD,本行買入,22.55000,22.95000,22.94200,22.92500,22.91300,22.90200,22.88500,22.86800,22.85100,本行賣出,23.46000,23.15000,23.15000,23.14900,23.13900,23.12800,23.12000,23.11100,23.10200,
SGD,本行買入,24.43000,24.92000,24.91800,24.91400,24.91800,24.92500,24.92700,24.92800,24.92900,本行賣出,25.34000,25.10000,25.10700,25.12000,25.12900,25.13600,25.14600,25.15700,25.16700,
CHF,本行買入,38.55000,39.23000,39.24100,39.26300,39.32200,39.38100,39.43600,39.49100,39.54700,本行賣出,39.75000,39.48000,39.50800,39.56300,39.62800,39.68800,39.75800,39.82800,39.89800,
JPY,本行買入,0.19170,0.19900,0.19900,0.19900,0.19910,0.19920,0.19930,0.19940,0.19940,本行賣出,0.20450,0.20300,0.20310,0.20320,0.20330,0.20350,0.20360,0.20380,0.20400,
ZAR,本行買入,0.00000,1.93500,1.93200,1.92500,1.91700,1.90800,1.89900,1.89000,1.88100,本行賣出,0.00000,2.01500,2.01300,2.00800,2.00000,1.99100,1.98300,1.97500,1.96700,
SEK,本行買入,0.00000,3.32000,3.31900,3.31700,3.31700,3.31600,3.31400,3.31200,3.31000,本行賣出,0.00000,3.42000,3.42000,3.42100,3.42000,3.42000,3.42000,3.41900,3.41900,
NZD,本行買入,18.40000,18.78000,18.77000,18.74900,18.72700,18.70700,18.67900,18.65200,18.62400,本行賣出,19.25000,18.98000,18.97800,18.97500,18.95500,18.93500,18.91500,18.89400,18.87400,
THB,本行買入,0.83700,0.95040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02700,0.99040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.19000,36.81000,36.79800,36.77500,36.74400,36.71700,36.68700,36.65700,36.60800,本行賣出,37.53000,37.21000,37.20700,37.20000,37.17800,37.15900,37.14400,37.12900,37.11400,
KRW,本行買入,0.02092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02482,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.80200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.32700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.64400,4.71600,4.71620,4.71660,4.71880,4.72000,4.72120,4.72290,4.72360,本行賣出,4.80600,4.76600,4.76660,4.76770,4.77000,4.77080,4.77310,4.77540,4.77770,
