幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.46500,31.81500,31.79900,31.74500,31.68300,31.61900,31.54700,31.48000,31.41900,本行賣出,32.13500,31.91500,31.90300,31.85400,31.79800,31.74000,31.67500,31.61500,31.56000,
HKD,本行買入,3.90600,4.03200,4.03000,4.02600,4.02100,4.01800,4.01200,4.00700,4.00200,本行賣出,4.11000,4.09200,4.09100,4.09000,4.08700,4.08300,4.07900,4.07500,4.07200,
GBP,本行買入,41.76000,42.77000,42.73500,42.66400,42.57900,42.49800,42.41400,42.33000,42.24600,本行賣出,43.88000,43.17000,43.15300,43.11800,43.03900,42.96200,42.88900,42.81500,42.74200,
AUD,本行買入,22.32000,22.61000,22.58700,22.54000,22.48100,22.42500,22.36900,22.31300,22.25900,本行賣出,23.10000,22.81000,22.79800,22.77500,22.72000,22.66600,22.61500,22.56600,22.51700,
CAD,本行買入,22.38000,22.78000,22.77100,22.75400,22.74000,22.72800,22.71500,22.70200,22.68900,本行賣出,23.29000,22.98000,22.98100,22.98300,22.97300,22.96300,22.95600,22.95000,22.94300,
SGD,本行買入,24.45000,24.94000,24.93400,24.92300,24.92300,24.92800,24.93100,24.93400,24.93700,本行賣出,25.36000,25.12000,25.12800,25.14400,25.14900,25.15500,25.16400,25.17300,25.18300,
CHF,本行買入,38.10000,38.78000,38.79000,38.81000,38.86300,38.92200,38.98000,39.03900,39.09900,本行賣出,39.30000,39.03000,39.05800,39.11400,39.17600,39.23700,39.30700,39.37800,39.45000,
JPY,本行買入,0.19600,0.20330,0.20330,0.20330,0.20340,0.20350,0.20350,0.20360,0.20370,本行賣出,0.20880,0.20730,0.20740,0.20750,0.20760,0.20770,0.20790,0.20800,0.20820,
ZAR,本行買入,0.00000,1.92200,1.91900,1.91300,1.90400,1.89600,1.88800,1.88000,1.87200,本行賣出,0.00000,2.00200,2.00000,1.99600,1.98800,1.98000,1.97200,1.96500,1.95700,
SEK,本行買入,0.00000,3.21000,3.20900,3.20700,3.20600,3.20500,3.20400,3.20300,3.20200,本行賣出,0.00000,3.31000,3.31100,3.31200,3.31100,3.31100,3.31000,3.31000,3.31000,
NZD,本行買入,17.84000,18.22000,18.20800,18.18300,18.15900,18.13700,18.11400,18.09000,18.06600,本行賣出,18.69000,18.42000,18.41900,18.41600,18.39600,18.37600,18.35700,18.33700,18.31800,
THB,本行買入,0.83000,0.94340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02000,0.98340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.96000,36.58000,36.56700,36.54200,36.51100,36.48000,36.44400,36.40800,36.35100,本行賣出,37.30000,36.98000,36.97400,36.96300,36.93600,36.91800,36.89400,36.87100,36.84700,
KRW,本行買入,0.02157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02547,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.77100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.29600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.65000,4.72200,4.72190,4.72160,4.72250,4.72410,4.72550,4.72740,4.72850,本行賣出,4.81200,4.77200,4.77310,4.77530,4.77610,4.77740,4.77960,4.78190,4.78410,
