幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.20000,31.55000,31.53300,31.48600,31.42200,31.35900,31.29000,31.22900,31.17000,本行賣出,31.87000,31.65000,31.63700,31.59500,31.53800,31.48200,31.42000,31.36700,31.31500,
HKD,本行買入,3.87500,4.00100,3.99900,3.99500,3.99000,3.98700,3.98100,3.97600,3.97100,本行賣出,4.07900,4.06100,4.06000,4.05900,4.05600,4.05200,4.04800,4.04400,4.04100,
GBP,本行買入,41.61000,42.62000,42.58500,42.51400,42.42900,42.34800,42.26400,42.18000,42.09600,本行賣出,43.73000,43.02000,43.00300,42.96800,42.88900,42.81200,42.73900,42.66500,42.59200,
AUD,本行買入,22.27000,22.56000,22.53700,22.49000,22.43100,22.37500,22.31900,22.26300,22.20900,本行賣出,23.05000,22.76000,22.74800,22.72500,22.67000,22.61600,22.56500,22.51600,22.46700,
CAD,本行買入,22.30000,22.70000,22.69100,22.67400,22.66000,22.64800,22.63500,22.62200,22.60900,本行賣出,23.21000,22.90000,22.90100,22.90300,22.89300,22.88300,22.87600,22.87000,22.86300,
SGD,本行買入,24.28000,24.77000,24.76400,24.75300,24.75300,24.75800,24.76100,24.76400,24.76700,本行賣出,25.19000,24.95000,24.95800,24.97400,24.97900,24.98500,24.99400,25.00300,25.01300,
CHF,本行買入,38.22000,38.90000,38.91000,38.93000,38.98300,39.04200,39.10000,39.15900,39.21900,本行賣出,39.42000,39.15000,39.17800,39.23400,39.29600,39.35700,39.42700,39.49800,39.57000,
JPY,本行買入,0.18850,0.19580,0.19580,0.19580,0.19580,0.19590,0.19600,0.19610,0.19610,本行賣出,0.20130,0.19980,0.19990,0.20000,0.20010,0.20020,0.20040,0.20050,0.20070,
ZAR,本行買入,0.00000,1.92200,1.91900,1.91300,1.90400,1.89600,1.88800,1.88000,1.87200,本行賣出,0.00000,2.00200,2.00000,1.99600,1.98800,1.98000,1.97200,1.96500,1.95700,
SEK,本行買入,0.00000,3.25000,3.24900,3.24700,3.24600,3.24500,3.24400,3.24300,3.24200,本行賣出,0.00000,3.35000,3.35100,3.35200,3.35100,3.35100,3.35000,3.35000,3.35000,
NZD,本行買入,18.20000,18.58000,18.56800,18.54300,18.51900,18.49700,18.47400,18.45000,18.42600,本行賣出,19.05000,18.78000,18.77900,18.77600,18.75600,18.73600,18.71700,18.69700,18.67800,
THB,本行買入,0.82350,0.93690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01350,0.97690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.87000,36.49000,36.47600,36.44700,36.41000,36.38200,36.35400,36.32500,36.27600,本行賣出,37.21000,36.89000,36.88900,36.88700,36.86000,36.84100,36.82400,36.80700,36.78900,
KRW,本行買入,0.02134,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02524,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.80500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.33000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.60400,4.67600,4.67630,4.67690,4.67520,4.67620,4.67770,4.67950,4.68080,本行賣出,4.76600,4.72600,4.72750,4.73040,4.72970,4.73100,4.73270,4.73450,4.73630,
