幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.42000,31.77000,31.75400,31.70000,31.63800,31.57400,31.50200,31.43500,31.37400,本行賣出,32.09000,31.87000,31.85800,31.80900,31.75300,31.69500,31.63000,31.57000,31.51500,
HKD,本行買入,3.90100,4.02700,4.02500,4.02100,4.01600,4.01300,4.00700,4.00200,3.99700,本行賣出,4.10500,4.08700,4.08600,4.08500,4.08200,4.07800,4.07400,4.07000,4.06700,
GBP,本行買入,41.73000,42.74000,42.70500,42.63400,42.54900,42.46800,42.38400,42.30000,42.21600,本行賣出,43.85000,43.14000,43.12300,43.08800,43.00900,42.93200,42.85900,42.78500,42.71200,
AUD,本行買入,22.30000,22.59000,22.56700,22.52000,22.46100,22.40500,22.34900,22.29300,22.23900,本行賣出,23.08000,22.79000,22.77800,22.75500,22.70000,22.64600,22.59500,22.54600,22.49700,
CAD,本行買入,22.38000,22.78000,22.77100,22.75400,22.74000,22.72800,22.71500,22.70200,22.68900,本行賣出,23.29000,22.98000,22.98100,22.98300,22.97300,22.96300,22.95600,22.95000,22.94300,
SGD,本行買入,24.45000,24.94000,24.93400,24.92300,24.92300,24.92800,24.93100,24.93400,24.93700,本行賣出,25.36000,25.12000,25.12800,25.14400,25.14900,25.15500,25.16400,25.17300,25.18300,
CHF,本行買入,38.09000,38.77000,38.78000,38.80000,38.85300,38.91200,38.97000,39.02900,39.08900,本行賣出,39.29000,39.02000,39.04800,39.10400,39.16600,39.22700,39.29700,39.36800,39.44000,
JPY,本行買入,0.19630,0.20360,0.20360,0.20360,0.20370,0.20380,0.20380,0.20390,0.20400,本行賣出,0.20910,0.20760,0.20770,0.20780,0.20790,0.20800,0.20820,0.20830,0.20850,
ZAR,本行買入,0.00000,1.91600,1.91300,1.90700,1.89800,1.89000,1.88200,1.87400,1.86600,本行賣出,0.00000,1.99600,1.99400,1.99000,1.98200,1.97400,1.96600,1.95900,1.95100,
SEK,本行買入,0.00000,3.21000,3.20900,3.20700,3.20600,3.20500,3.20400,3.20300,3.20200,本行賣出,0.00000,3.31000,3.31100,3.31200,3.31100,3.31100,3.31000,3.31000,3.31000,
NZD,本行買入,17.85000,18.23000,18.21800,18.19300,18.16900,18.14700,18.12400,18.10000,18.07600,本行賣出,18.70000,18.43000,18.42900,18.42600,18.40600,18.38600,18.36700,18.34700,18.32800,
THB,本行買入,0.82900,0.94240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01900,0.98240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.91000,36.53000,36.51700,36.49200,36.46100,36.43000,36.39400,36.35800,36.30100,本行賣出,37.25000,36.93000,36.92400,36.91300,36.88600,36.86800,36.84400,36.82100,36.79700,
KRW,本行買入,0.02177,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02567,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.77200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.29700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.64400,4.71600,4.71590,4.71560,4.71650,4.71810,4.71950,4.72140,4.72250,本行賣出,4.80600,4.76600,4.76710,4.76930,4.77010,4.77140,4.77360,4.77590,4.77810,
