幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.46000,31.81000,31.79400,31.74400,31.67700,31.61900,31.55800,31.49300,31.43400,本行賣出,32.13000,31.91000,31.89700,31.85200,31.79100,31.74000,31.68600,31.62800,31.57500,
HKD,本行買入,3.90600,4.03200,4.03000,4.02700,4.02300,4.02000,4.01400,4.00800,4.00200,本行賣出,4.11000,4.09200,4.09200,4.09100,4.08700,4.08400,4.07900,4.07500,4.07000,
GBP,本行買入,42.27000,43.28000,43.24400,43.17300,43.08900,43.00900,42.91300,42.81700,42.72100,本行賣出,44.39000,43.68000,43.66000,43.61900,43.53900,43.46000,43.38100,43.30200,43.22200,
AUD,本行買入,22.31000,22.60000,22.57500,22.52500,22.47000,22.41800,22.35700,22.29900,22.24000,本行賣出,23.09000,22.80000,22.78700,22.76100,22.70900,22.65700,22.60400,22.55400,22.50400,
CAD,本行買入,22.63000,23.03000,23.02200,23.00500,22.99300,22.98200,22.96500,22.94800,22.93100,本行賣出,23.54000,23.23000,23.23000,23.22900,23.21900,23.20800,23.20000,23.19100,23.18200,
SGD,本行買入,24.49000,24.98000,24.97800,24.97400,24.97800,24.98500,24.98700,24.98800,24.98900,本行賣出,25.40000,25.16000,25.16700,25.18000,25.18900,25.19600,25.20600,25.21700,25.22700,
CHF,本行買入,39.03000,39.71000,39.72100,39.74300,39.80200,39.86100,39.91600,39.97100,40.02700,本行賣出,40.23000,39.96000,39.98800,40.04300,40.10800,40.16800,40.23800,40.30800,40.37800,
JPY,本行買入,0.19110,0.19840,0.19840,0.19840,0.19850,0.19860,0.19870,0.19880,0.19880,本行賣出,0.20390,0.20240,0.20250,0.20260,0.20270,0.20290,0.20300,0.20320,0.20340,
ZAR,本行買入,0.00000,1.93800,1.93500,1.92800,1.92000,1.91100,1.90200,1.89300,1.88400,本行賣出,0.00000,2.01800,2.01600,2.01100,2.00300,1.99400,1.98600,1.97800,1.97000,
SEK,本行買入,0.00000,3.32000,3.31900,3.31700,3.31700,3.31600,3.31400,3.31200,3.31000,本行賣出,0.00000,3.42000,3.42000,3.42100,3.42000,3.42000,3.42000,3.41900,3.41900,
NZD,本行買入,18.52000,18.90000,18.89000,18.86900,18.84700,18.82700,18.79900,18.77200,18.74400,本行賣出,19.37000,19.10000,19.09800,19.09500,19.07500,19.05500,19.03500,19.01400,18.99400,
THB,本行買入,0.84220,0.95560,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03220,0.99560,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.42000,37.04000,37.02700,37.00100,36.96300,36.93600,36.90300,36.87000,36.81700,本行賣出,37.76000,37.44000,37.43500,37.42600,37.39400,37.37600,37.35700,37.33900,37.32000,
KRW,本行買入,0.02129,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02519,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.85000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.37500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.64100,4.71300,4.71280,4.71250,4.71380,4.71530,4.71650,4.71800,4.71890,本行賣出,4.80300,4.76300,4.76360,4.76480,4.76600,4.76730,4.76940,4.77150,4.77370,
