幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.15000,31.47500,31.48400,31.43600,31.37300,31.31200,31.25100,31.18800,31.12700,本行賣出,31.82000,31.62500,31.58800,31.54400,31.48800,31.43500,31.38200,31.32600,31.27400,
HKD,本行買入,3.86800,3.98900,3.99100,3.98700,3.98200,3.97900,3.97300,3.96800,3.96300,本行賣出,4.07200,4.05900,4.05200,4.05100,4.04800,4.04400,4.04000,4.03600,4.03300,
GBP,本行買入,41.57000,42.46500,42.53500,42.46400,42.37900,42.29800,42.21400,42.13000,42.04600,本行賣出,43.69000,43.09500,42.95300,42.91800,42.83900,42.76200,42.68900,42.61500,42.54200,
AUD,本行買入,22.36000,22.57500,22.62700,22.58000,22.52100,22.46500,22.40900,22.35300,22.29900,本行賣出,23.14000,22.92000,22.83800,22.81500,22.76000,22.70600,22.65500,22.60600,22.55700,
CAD,本行買入,22.37000,22.70000,22.74100,22.72400,22.71000,22.69800,22.68500,22.67200,22.65900,本行賣出,23.28000,23.03000,22.95100,22.95300,22.94300,22.93300,22.92600,22.92000,22.91300,
SGD,本行買入,24.36000,24.83000,24.86400,24.85300,24.85300,24.85800,24.86100,24.86400,24.86700,本行賣出,25.27000,25.05000,25.05800,25.07400,25.07900,25.08500,25.09400,25.10300,25.11300,
CHF,本行買入,38.12000,38.73000,38.86000,38.88000,38.93300,38.99200,39.05000,39.10900,39.16900,本行賣出,39.32000,39.12000,39.12800,39.18400,39.24600,39.30700,39.37700,39.44800,39.52000,
JPY,本行買入,0.19600,0.20280,0.20370,0.20370,0.20380,0.20390,0.20390,0.20400,0.20400,本行賣出,0.20880,0.20780,0.20780,0.20790,0.20800,0.20800,0.20820,0.20830,0.20850,
ZAR,本行買入,0.00000,1.91800,1.92300,1.91700,1.90800,1.90000,1.89200,1.88400,1.87600,本行賣出,0.00000,2.00800,2.00400,2.00000,1.99200,1.98400,1.97600,1.96900,1.96100,
SEK,本行買入,0.00000,3.23000,3.23900,3.23700,3.23600,3.23500,3.23400,3.23300,3.23200,本行賣出,0.00000,3.35000,3.34100,3.34200,3.34100,3.34100,3.34000,3.34000,3.34000,
NZD,本行買入,17.96000,18.29000,18.34800,18.32300,18.29900,18.27700,18.25400,18.23000,18.20600,本行賣出,18.81000,18.59000,18.55900,18.55600,18.53600,18.51600,18.49700,18.47700,18.45800,
THB,本行買入,0.82920,0.93960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01920,0.98560,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.43830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00208,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.91000,36.42500,36.50800,36.48500,36.44900,36.42000,36.38500,36.35000,36.29300,本行賣出,37.25000,37.02500,36.91700,36.91000,36.88200,36.86400,36.84600,36.82700,36.80800,
KRW,本行買入,0.02177,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02567,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.73400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.25900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.61000,4.67700,4.68040,4.68120,4.68180,4.68300,4.68390,4.68510,4.68560,本行賣出,4.77200,4.73700,4.73080,4.73240,4.73330,4.73440,4.73660,4.73870,4.74090,
