幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.44000,31.79000,31.77000,31.71600,31.64300,31.57700,31.50700,31.44300,31.37300,本行賣出,32.11000,31.89000,31.87400,31.82500,31.75900,31.69900,31.63600,31.57900,31.51600,
HKD,本行買入,3.90300,4.02900,4.02700,4.02300,4.01800,4.01500,4.00900,4.00400,3.99900,本行賣出,4.10700,4.08900,4.08800,4.08700,4.08400,4.08000,4.07600,4.07200,4.06900,
GBP,本行買入,40.97000,41.98000,41.94500,41.87400,41.78900,41.70800,41.62400,41.54000,41.45600,本行賣出,43.09000,42.38000,42.36300,42.32800,42.24900,42.17200,42.09900,42.02500,41.95200,
AUD,本行買入,22.01000,22.30000,22.27700,22.23000,22.17100,22.11500,22.05900,22.00300,21.94900,本行賣出,22.79000,22.50000,22.48800,22.46500,22.41000,22.35600,22.30500,22.25600,22.20700,
CAD,本行買入,22.08000,22.48000,22.47100,22.45400,22.44000,22.42800,22.41500,22.40200,22.38900,本行賣出,22.99000,22.68000,22.68100,22.68300,22.67300,22.66300,22.65600,22.65000,22.64300,
SGD,本行買入,24.31000,24.80000,24.79400,24.78300,24.78300,24.78800,24.79100,24.79400,24.79700,本行賣出,25.22000,24.98000,24.98800,25.00400,25.00900,25.01500,25.02400,25.03300,25.04300,
CHF,本行買入,37.81000,38.49000,38.50000,38.52000,38.57300,38.63200,38.69000,38.74900,38.80900,本行賣出,39.01000,38.74000,38.76800,38.82400,38.88600,38.94700,39.01700,39.08800,39.16000,
JPY,本行買入,0.19240,0.19970,0.19970,0.19970,0.19980,0.19990,0.20000,0.20000,0.20000,本行賣出,0.20520,0.20370,0.20380,0.20390,0.20400,0.20410,0.20430,0.20440,0.20450,
ZAR,本行買入,0.00000,1.90500,1.90200,1.89600,1.88700,1.87900,1.87100,1.86300,1.85500,本行賣出,0.00000,1.98500,1.98300,1.97900,1.97100,1.96300,1.95500,1.94800,1.94000,
SEK,本行買入,0.00000,3.17000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,本行賣出,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,本行買入,17.59000,17.97000,17.95800,17.93300,17.90900,17.88700,17.86400,17.84000,17.81600,本行賣出,18.44000,18.17000,18.16900,18.16600,18.14600,18.12600,18.10700,18.08700,18.06800,
THB,本行買入,0.82530,0.93870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01530,0.97870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.43000,36.05000,36.03500,36.00600,35.96600,35.94400,35.90800,35.87200,35.81400,本行賣出,36.77000,36.45000,36.44300,36.43000,36.39400,36.38200,36.36000,36.33900,36.31700,
KRW,本行買入,0.02151,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02541,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.78100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.30600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.64400,4.71600,4.71590,4.71560,4.71760,4.71900,4.72090,4.72340,4.72490,本行賣出,4.80600,4.76600,4.76660,4.76790,4.76930,4.77060,4.77330,4.77610,4.77890,
