幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.51000,31.86000,31.84400,31.79200,31.73200,31.66900,31.60700,31.54600,31.47900,本行賣出,32.18000,31.96000,31.94800,31.90000,31.84700,31.79100,31.73600,31.68200,31.62400,
HKD,本行買入,3.91200,4.03800,4.03600,4.03300,4.02900,4.02600,4.02000,4.01400,4.00800,本行賣出,4.11600,4.09800,4.09800,4.09700,4.09300,4.09000,4.08500,4.08100,4.07600,
GBP,本行買入,41.99000,43.00000,42.96400,42.89300,42.80900,42.72900,42.63300,42.53700,42.44100,本行賣出,44.11000,43.40000,43.38000,43.33900,43.25900,43.18000,43.10100,43.02200,42.94200,
AUD,本行買入,22.19000,22.48000,22.45500,22.40500,22.35000,22.29800,22.23700,22.17900,22.12000,本行賣出,22.97000,22.68000,22.66700,22.64100,22.58900,22.53700,22.48400,22.43400,22.38400,
CAD,本行買入,22.47000,22.87000,22.86200,22.84500,22.83300,22.82200,22.80500,22.78800,22.77100,本行賣出,23.38000,23.07000,23.07000,23.06900,23.05900,23.04800,23.04000,23.03100,23.02200,
SGD,本行買入,24.39000,24.88000,24.87800,24.87400,24.87800,24.88500,24.88700,24.88800,24.88900,本行賣出,25.30000,25.06000,25.06700,25.08000,25.08900,25.09600,25.10600,25.11700,25.12700,
CHF,本行買入,38.50000,39.18000,39.19100,39.21300,39.27200,39.33100,39.38600,39.44100,39.49700,本行賣出,39.70000,39.43000,39.45800,39.51300,39.57800,39.63800,39.70800,39.77800,39.84800,
JPY,本行買入,0.19090,0.19820,0.19820,0.19820,0.19830,0.19840,0.19850,0.19860,0.19860,本行賣出,0.20370,0.20220,0.20230,0.20240,0.20250,0.20270,0.20280,0.20300,0.20320,
ZAR,本行買入,0.00000,1.92300,1.92000,1.91300,1.90500,1.89600,1.88700,1.87800,1.86900,本行賣出,0.00000,2.00300,2.00100,1.99600,1.98800,1.97900,1.97100,1.96300,1.95500,
SEK,本行買入,0.00000,3.30000,3.29900,3.29700,3.29700,3.29600,3.29400,3.29200,3.29000,本行賣出,0.00000,3.40000,3.40000,3.40100,3.40000,3.40000,3.40000,3.39900,3.39900,
NZD,本行買入,18.26000,18.64000,18.63000,18.60900,18.58700,18.56700,18.53900,18.51200,18.48400,本行賣出,19.11000,18.84000,18.83800,18.83500,18.81500,18.79500,18.77500,18.75400,18.73400,
THB,本行買入,0.83490,0.94830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02490,0.98830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44990,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.14000,36.76000,36.74700,36.72000,36.68900,36.66000,36.62900,36.59700,36.54600,本行賣出,37.48000,37.16000,37.15600,37.14700,37.12200,37.10300,37.08400,37.06600,37.04700,
KRW,本行買入,0.02096,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.82800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.35300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.63300,4.70500,4.70490,4.70480,4.70630,4.70790,4.70890,4.71040,4.71110,本行賣出,4.79500,4.75500,4.75550,4.75660,4.75790,4.75900,4.76100,4.76290,4.76480,
