幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.35000,31.70000,31.68500,31.63600,31.56900,31.50800,31.44400,31.37300,31.32000,本行賣出,32.02000,31.80000,31.78900,31.74400,31.68500,31.63200,31.57500,31.51100,31.46300,
HKD,本行買入,3.89300,4.01900,4.01700,4.01300,4.00800,4.00500,3.99900,3.99400,3.98900,本行賣出,4.09700,4.07900,4.07800,4.07700,4.07400,4.07000,4.06600,4.06200,4.05900,
GBP,本行買入,41.77000,42.78000,42.74500,42.67400,42.58900,42.50800,42.42400,42.34000,42.25600,本行賣出,43.89000,43.18000,43.16300,43.12800,43.04900,42.97200,42.89900,42.82500,42.75200,
AUD,本行買入,22.49000,22.78000,22.75700,22.71000,22.65100,22.59500,22.53900,22.48300,22.42900,本行賣出,23.27000,22.98000,22.96800,22.94500,22.89000,22.83600,22.78500,22.73600,22.68700,
CAD,本行買入,22.52000,22.92000,22.91100,22.89400,22.88000,22.86800,22.85500,22.84200,22.82900,本行賣出,23.43000,23.12000,23.12100,23.12300,23.11300,23.10300,23.09600,23.09000,23.08300,
SGD,本行買入,24.48000,24.97000,24.96400,24.95300,24.95300,24.95800,24.96100,24.96400,24.96700,本行賣出,25.39000,25.15000,25.15800,25.17400,25.17900,25.18500,25.19400,25.20300,25.21300,
CHF,本行買入,38.48000,39.16000,39.17000,39.19000,39.24300,39.30200,39.36000,39.41900,39.47900,本行賣出,39.68000,39.41000,39.43800,39.49400,39.55600,39.61700,39.68700,39.75800,39.83000,
JPY,本行買入,0.19380,0.20110,0.20110,0.20110,0.20120,0.20130,0.20130,0.20140,0.20140,本行賣出,0.20660,0.20510,0.20520,0.20530,0.20540,0.20540,0.20560,0.20570,0.20590,
ZAR,本行買入,0.00000,1.94600,1.94300,1.93700,1.92800,1.92000,1.91200,1.90400,1.89600,本行賣出,0.00000,2.02600,2.02400,2.02000,2.01200,2.00400,1.99600,1.98900,1.98100,
SEK,本行買入,0.00000,3.29000,3.28900,3.28700,3.28600,3.28500,3.28400,3.28300,3.28200,本行賣出,0.00000,3.39000,3.39100,3.39200,3.39100,3.39100,3.39000,3.39000,3.39000,
NZD,本行買入,18.24000,18.62000,18.60800,18.58300,18.55900,18.53700,18.51400,18.49000,18.46600,本行賣出,19.09000,18.82000,18.81900,18.81600,18.79600,18.77600,18.75700,18.73700,18.71800,
THB,本行買入,0.83530,0.94870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02530,0.98870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57480,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.10000,36.72000,36.70800,36.68400,36.64900,36.62000,36.58700,36.55400,36.50000,本行賣出,37.44000,37.12000,37.11400,37.10300,37.07300,37.05300,37.03600,37.01800,37.00100,
KRW,本行買入,0.02169,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02559,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.82200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.34700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.63100,4.70300,4.70280,4.70240,4.70380,4.70480,4.70600,4.70750,4.70840,本行賣出,4.79300,4.75300,4.75360,4.75480,4.75560,4.75640,4.75850,4.76060,4.76270,
