幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.34000,31.69000,31.67300,31.62000,31.55900,31.49000,31.43200,31.36900,31.30800,本行賣出,32.01000,31.79000,31.77700,31.72900,31.67500,31.61300,31.56200,31.50600,31.45300,
HKD,本行買入,3.89200,4.01800,4.01600,4.01300,4.00900,4.00600,4.00000,3.99400,3.98800,本行賣出,4.09600,4.07800,4.07800,4.07700,4.07300,4.07000,4.06500,4.06100,4.05600,
GBP,本行買入,41.95000,42.96000,42.92400,42.85300,42.76900,42.68900,42.59300,42.49700,42.40100,本行賣出,44.07000,43.36000,43.34000,43.29900,43.21900,43.14000,43.06100,42.98200,42.90200,
AUD,本行買入,22.41000,22.70000,22.67500,22.62500,22.57000,22.51800,22.45700,22.39900,22.34000,本行賣出,23.19000,22.90000,22.88700,22.86100,22.80900,22.75700,22.70400,22.65400,22.60400,
CAD,本行買入,22.37000,22.77000,22.76200,22.74500,22.73300,22.72200,22.70500,22.68800,22.67100,本行賣出,23.28000,22.97000,22.97000,22.96900,22.95900,22.94800,22.94000,22.93100,22.92200,
SGD,本行買入,24.40000,24.89000,24.88800,24.88400,24.88800,24.89500,24.89700,24.89800,24.89900,本行賣出,25.31000,25.07000,25.07700,25.09000,25.09900,25.10600,25.11600,25.12700,25.13700,
CHF,本行買入,38.60000,39.28000,39.29100,39.31300,39.37200,39.43100,39.48600,39.54100,39.59700,本行賣出,39.80000,39.53000,39.55800,39.61300,39.67800,39.73800,39.80800,39.87800,39.94800,
JPY,本行買入,0.19000,0.19730,0.19730,0.19720,0.19730,0.19740,0.19750,0.19750,0.19760,本行賣出,0.20280,0.20130,0.20130,0.20140,0.20160,0.20170,0.20190,0.20200,0.20210,
ZAR,本行買入,0.00000,1.95000,1.94700,1.94000,1.93200,1.92300,1.91400,1.90500,1.89600,本行賣出,0.00000,2.03000,2.02800,2.02300,2.01500,2.00600,1.99800,1.99000,1.98200,
SEK,本行買入,0.00000,3.29000,3.28900,3.28700,3.28700,3.28600,3.28400,3.28200,3.28000,本行賣出,0.00000,3.39000,3.39000,3.39100,3.39000,3.39000,3.39000,3.38900,3.38900,
NZD,本行買入,18.41000,18.79000,18.78000,18.75900,18.73700,18.71700,18.68900,18.66200,18.63400,本行賣出,19.26000,18.99000,18.98800,18.98500,18.96500,18.94500,18.92500,18.90400,18.88400,
THB,本行買入,0.83830,0.95170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02830,0.99170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44860,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.19000,36.81000,36.79500,36.76500,36.73500,36.70400,36.67000,36.63600,36.58100,本行賣出,37.53000,37.21000,37.20500,37.19600,37.17400,37.15300,37.13700,37.12000,37.10300,
KRW,本行買入,0.02128,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02518,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.85600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.38100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.62500,4.69700,4.69650,4.69540,4.69690,4.69840,4.69890,4.69950,4.69980,本行賣出,4.78700,4.74700,4.74760,4.74890,4.75060,4.75190,4.75400,4.75600,4.75800,
