幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.07000,31.42000,31.40500,31.35100,31.29200,31.22900,31.16300,31.09800,31.04200,本行賣出,31.74000,31.52000,31.50900,31.46000,31.40800,31.35100,31.29100,31.23400,31.18400,
HKD,本行買入,3.85700,3.98300,3.98100,3.97700,3.97200,3.96900,3.96300,3.95800,3.95300,本行賣出,4.06100,4.04300,4.04200,4.04100,4.03800,4.03400,4.03000,4.02600,4.02300,
GBP,本行買入,41.43000,42.44000,42.40500,42.33400,42.24900,42.16800,42.08400,42.00000,41.91600,本行賣出,43.55000,42.84000,42.82300,42.78800,42.70900,42.63200,42.55900,42.48500,42.41200,
AUD,本行買入,22.33000,22.62000,22.59700,22.55000,22.49100,22.43500,22.37900,22.32300,22.26900,本行賣出,23.11000,22.82000,22.80800,22.78500,22.73000,22.67600,22.62500,22.57600,22.52700,
CAD,本行買入,22.35000,22.75000,22.74100,22.72400,22.71000,22.69800,22.68500,22.67200,22.65900,本行賣出,23.26000,22.95000,22.95100,22.95300,22.94300,22.93300,22.92600,22.92000,22.91300,
SGD,本行買入,24.31000,24.80000,24.79400,24.78300,24.78300,24.78800,24.79100,24.79400,24.79700,本行賣出,25.22000,24.98000,24.98800,25.00400,25.00900,25.01500,25.02400,25.03300,25.04300,
CHF,本行買入,38.08000,38.76000,38.77000,38.79000,38.84300,38.90200,38.96000,39.01900,39.07900,本行賣出,39.28000,39.01000,39.03800,39.09400,39.15600,39.21700,39.28700,39.35800,39.43000,
JPY,本行買入,0.19570,0.20300,0.20300,0.20300,0.20310,0.20320,0.20320,0.20330,0.20330,本行賣出,0.20850,0.20700,0.20710,0.20720,0.20730,0.20730,0.20750,0.20760,0.20780,
ZAR,本行買入,0.00000,1.92600,1.92300,1.91700,1.90800,1.90000,1.89200,1.88400,1.87600,本行賣出,0.00000,2.00600,2.00400,2.00000,1.99200,1.98400,1.97600,1.96900,1.96100,
SEK,本行買入,0.00000,3.24000,3.23900,3.23700,3.23600,3.23500,3.23400,3.23300,3.23200,本行賣出,0.00000,3.34000,3.34100,3.34200,3.34100,3.34100,3.34000,3.34000,3.34000,
NZD,本行買入,17.96000,18.34000,18.32800,18.30300,18.27900,18.25700,18.23400,18.21000,18.18600,本行賣出,18.81000,18.54000,18.53900,18.53600,18.51600,18.49600,18.47700,18.45700,18.43800,
THB,本行買入,0.82910,0.94250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01910,0.98250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.43810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.79000,36.41000,36.39600,36.36900,36.33800,36.31000,36.27700,36.24400,36.19100,本行賣出,37.13000,36.81000,36.80600,36.79700,36.77100,36.75000,36.73300,36.71500,36.69800,
KRW,本行買入,0.02179,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02569,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.70500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.23000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.59600,4.66800,4.66780,4.66730,4.66830,4.66930,4.67020,4.67150,4.67220,本行賣出,4.75800,4.71800,4.71880,4.72040,4.72110,4.72210,4.72430,4.72650,4.72860,
