幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.40000,31.72500,31.73700,31.68700,31.61600,31.55100,31.48100,31.41200,31.34900,本行賣出,32.07000,31.87500,31.84100,31.79500,31.73100,31.67300,31.61100,31.54900,31.49300,
HKD,本行買入,3.89800,4.01900,4.02200,4.01800,4.01300,4.01000,4.00400,3.99900,3.99400,本行賣出,4.10200,4.08900,4.08300,4.08200,4.07900,4.07500,4.07100,4.06700,4.06400,
GBP,本行買入,41.34000,42.23500,42.29500,42.22400,42.13900,42.05800,41.97400,41.89000,41.80600,本行賣出,43.46000,42.86500,42.71300,42.67800,42.59900,42.52200,42.44900,42.37500,42.30200,
AUD,本行買入,22.28000,22.49500,22.53700,22.49000,22.43100,22.37500,22.31900,22.26300,22.20900,本行賣出,23.06000,22.84000,22.74800,22.72500,22.67000,22.61600,22.56500,22.51600,22.46700,
CAD,本行買入,22.23000,22.56000,22.62100,22.60400,22.59000,22.57800,22.56500,22.55200,22.53900,本行賣出,23.14000,22.89000,22.83100,22.83300,22.82300,22.81300,22.80600,22.80000,22.79300,
SGD,本行買入,24.32000,24.79000,24.82400,24.81300,24.81300,24.81800,24.82100,24.82400,24.82700,本行賣出,25.23000,25.01000,25.01800,25.03400,25.03900,25.04500,25.05400,25.06300,25.07300,
CHF,本行買入,37.74000,38.35000,38.43000,38.45000,38.50300,38.56200,38.62000,38.67900,38.73900,本行賣出,38.94000,38.74000,38.69800,38.75400,38.81600,38.87700,38.94700,39.01800,39.09000,
JPY,本行買入,0.19220,0.19900,0.19990,0.19990,0.20000,0.20010,0.20020,0.20020,0.20020,本行賣出,0.20500,0.20400,0.20400,0.20410,0.20420,0.20430,0.20450,0.20460,0.20470,
ZAR,本行買入,0.00000,1.91300,1.91400,1.90800,1.89900,1.89100,1.88300,1.87500,1.86700,本行賣出,0.00000,2.00300,1.99500,1.99100,1.98300,1.97500,1.96700,1.96000,1.95200,
SEK,本行買入,0.00000,3.18000,3.19900,3.19700,3.19600,3.19500,3.19400,3.19300,3.19200,本行賣出,0.00000,3.30000,3.30100,3.30200,3.30100,3.30100,3.30000,3.30000,3.30000,
NZD,本行買入,17.71000,18.04000,18.07800,18.05300,18.02900,18.00700,17.98400,17.96000,17.93600,本行賣出,18.56000,18.34000,18.28900,18.28600,18.26600,18.24600,18.22700,18.20700,18.18800,
THB,本行買入,0.82580,0.93620,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01580,0.98220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00208,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.72000,36.23500,36.31700,36.29000,36.25500,36.22900,36.19300,36.15700,36.10000,本行賣出,37.06000,36.83500,36.72500,36.71500,36.68600,36.66900,36.64700,36.62600,36.60400,
KRW,本行買入,0.02122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02512,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.76800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.29300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.65300,4.72000,4.72370,4.72320,4.72500,4.72650,4.72810,4.73010,4.73120,本行賣出,4.81500,4.78000,4.77480,4.77630,4.77740,4.77900,4.78150,4.78400,4.78650,
